,Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
74,marcelotwelve,marcelotwelve,BR,https://www.instagram.com/marcelotwelve,Shows,Shows,1562555090.0,693038.1667,2671,57439765,86,2503.037244,3041758.0,402644.375,650563.7059,0.010230087,0.013071069
75,karimbenzema,karimbenzema,ES,https://www.instagram.com/karimbenzema,Music,Music,1474433942.0,876565.0,2000,55869867,42,5392.554167,2973552.17,791904.1667,997608.3333,0.013316958,0.023488033
76,chrishemsworth,chrishemsworth,AU,https://www.instagram.com/chrishemsworth,Trailers,Trailers,1731131414.0,2745384.0,859,55165178,86,8745.578947,6180484.385,1757045.75,1571159.5,0.036724414,0.032749642
78,iamzlatanibrahimovic,iamzlatanibrahimovic,FR,https://www.instagram.com/iamzlatanibrahimovic,Sports,Sports,957991032.4,1541239.417,868,54512391,86,7579.643077,6267214.269,446872.0,521481.0,0.02039042,0.025430367
79,karolg,karolg,IN,https://www.instagram.com/karolg,People & Blogs,People & Blogs,7767485056.0,3028630.75,3297,54422099,83,20350.10753,7802091.678,5904571.0,5904571.0,0.043755473,0.128068993
80,leonardodicaprio,leonardodicaprio,IN,https://www.instagram.com/leonardodicaprio,Pets & Animals,Pets & Animals,574061426.7,398191.4167,1680,54158640,86,3509.686924,1235508.434,98298.25,120142.8333,0.006375211,0.002202655
82,juventus,juventus,US,https://www.instagram.com/juventus,Gaming,Gaming,1721135539.0,201090.7333,9974,54054171,87,952.7917355,840567.1208,139207.7179,121662.6716,0.003212303,0.002618975
83,zacefron,zacefron,US,https://www.instagram.com/zacefron,Movies,Movies,1081307392.0,2262103.5,663,53887887,86,9847.057143,5708580.759,451506.57315,121662.6716,0.030471489,0.021729759
84,tatawerneck,tatawerneck,BR,https://www.instagram.com/tatawerneck,Entertainment,Entertainment,3865143086.0,976812.5,5565,53554512,86,6598.756972,2908022.978,149581.0,165887.5556,0.013100058,0.003956366
86,robertdowneyjr,robertdowneyjr,US,https://www.instagram.com/robertdowneyjr,Entertainment,Entertainment,923395252.8,2984656.25,422,53210425,86,12541.23616,7258314.398,451506.57315,2106144.0,0.041367838,0.040449589
